SKU,End Customer,Region,Group(MPN),Business Unit,Family,Types,Type,Variable,07/01/2018,07/08/2018,07/15/2018,07/22/2018,07/29/2018,08/05/2018,08/12/2018,08/19/2018,08/26/2018,09/02/2018,09/09/2018,09/16/2018,09/23/2018,09/30/2018,10/07/2018,10/14/2018,10/21/2018,10/28/2018,11/04/2018,11/11/2018,11/18/2018,11/25/2018,12/02/2018,12/09/2018,12/16/2018,12/23/2018,12/30/2018,01/06/2019,01/13/2019,01/20/2019,01/27/2019,02/03/2019,02/10/2019,02/17/2019,02/24/2019,03/03/2019,03/10/2019,03/17/2019,03/24/2019,03/31/2019,04/07/2019,04/14/2019,04/21/2019,04/28/2019,05/05/2019,05/12/2019,05/19/2019,05/26/2019,06/02/2019,06/09/2019,06/16/2019,06/23/2019,06/30/2019,07/07/2019,07/14/2019,07/21/2019,07/28/2019,08/04/2019,08/11/2019,08/18/2019,08/25/2019,09/01/2019,09/08/2019,09/15/2019,09/22/2019,09/29/2019,10/06/2019,10/13/2019,10/20/2019,10/27/2019,11/03/2019,11/10/2019,11/17/2019,11/24/2019,12/01/2019,12/08/2019,12/15/2019,12/22/2019,12/29/2019,01/05/2020,01/12/2020,01/19/2020,01/26/2020,02/02/2020,02/09/2020,02/16/2020,02/23/2020,03/01/2020,03/08/2020,03/15/2020,03/22/2020,03/29/2020,04/05/2020,04/12/2020,04/19/2020,04/26/2020,05/03/2020,05/10/2020,05/17/2020,05/24/2020,05/31/2020,06/07/2020,06/14/2020,06/21/2020,06/28/2020,07/05/2020,07/12/2020,07/19/2020,07/26/2020,08/02/2020,08/09/2020,08/16/2020,08/23/2020,08/30/2020
900-2G503-0010-000,,,V100-SXM2,CU,V100,BD,Raw Forecast,JFF,7009.6,8372.8,6977.6,5400.9,3824.2,2247.5,1786.5,2904.5,4022.5,5140.5,7491.9,9533.4,11574.9,13616.4,14704,11689.75,8251.75,4813.75,1375.75,1082.5,1333,1583.5,2361.5,3374.4,4267.3,5160.2,5525.6,5525.6,5882.95,6113.05,6343.15,6573.25,5590,5512,5434,5356,5634.9,5189.2,4743.5,4297.8,4351.2,3465.9,2665.1,1864.3,1063.5,1696.5,2085,2473.5,2862,3692.5,5304,6915.5,8527,9148,7670.75,6754.25,5837.75,4921.25,6076,7636.25,9196.5,10756.75,10610.65,10223.9,9837.15,9450.4,10176,9678.5,12555.25,15432,18308.75,17635.25,16236,14836.75,14225.75,15525.35,14176.449,12827.549,10690.399,10690.399,12578.549,14466.699,16354.849,18242.999,19346.499,20449.999,21553.5,22657,20330.95,18004.9,15678.85,13352.8,13352.8,12035.35,10717.9,9400.449,8082.999,8319.249,8555.5,8791.75,9028,8046.8,7065.6,6084.399,5103.199,5103.199,4994.899,4886.6,4778.3,4670,4765.5,4861,4956.499,5051.999
900-2G503-0010-000,,,V100-SXM2,CU,V100,BD,Raw Forecast,SalesOpps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6415,9118,10459,14829,14410,13296,13022,21516,23075,23289,24486,27562,22223,21376,23295,27108,27239,26641,27038,27704,28236,20912,19201,24754,25788,26530,27362,25820,24690,27154,25671,22905,21614,13850,10760,18196,20970,19398,10068,7548,13613,13879,14540,9317,12201,10124,8624,6035,4596,7784,10893,6001,5026,5210,8310,7577
900-2G503-0010-000,,,V100-SXM2,CU,V100,BD,Raw Forecast,RollingDemand,3419,3712,3473,5690,4720,148,752,721,266,272,1736,2116,672,8231,12392,12684,17353,12510,807,706,650,2307,6735,6649,6242,7365,1504,1059,1741,3506,10600,1554,1488,1710,1648,494,1680,1813,2673,1590,1117,559,1630,1668,260,280,13472,1833,3562,2004,308,600,3913,3257,1078,3465,6876,3216,558,3379,4797,8664,8280,7118,5903,14700,17812,18253,20612,24186,17605,16653,18617,22326,22714,22108,22067,21989,22538,15474,13702,19448,19949,20386,20953,19825,18786,21508,21730,19987,19973,13083,10134,17014,18547,16139,5669,2872,8962,8839,9010,3390,6315,4121,2961,1477,351,4217,7733,2464,1618,1799,4916,4113
900-2G503-0010-000,,,V100-SXM2,CU,V100,BD,Raw Forecast,ChannelInv,405,461,539,520,1145,1039,911,678,566,958,895,610,438,608,481,432,282,0,268,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900-5G160-0150-000,,,RTX4000 (TU104-850),WS,U104,BD,Raw Demand,Demand,,,,,,,,,,,,,,,,,,,,,,,,,,,75,75,575,300,445,1125,1125,1125,805,150,200,200,160,135,87,87,29,54,77,77,50,100,100,175,175,200,175,200,550,525,925,875,700,750,500,875,875,1600,1700,1825,2000,1325,1525,1300,1375,1475,1475,1525,1550,1850,1525,1500,1850,2975,2875,2675,3000,1450,1650,2825,3425,3550,4025,3725,2200,2000,5052,4077,3956,4006,379,429,475,650,625,875,1050,1300,1725,2975,2908,2658,3158,3433,3755,4203,3907,2824
900-5G160-0150-000,,,RTX4000 (TU104-850),WS,U104,BD,Raw Forecast,BUF,,,,,,,,,,,,,,,,,,,,,,,,10,20,30,40,40,155,313.75,472.5,631.25,631.25,525,418.75,312.5,622.5,730,837.5,945,680,897.5,777.5,657.5,537.5,262.5,306.25,350,393.75,426.25,452.5,478.75,505,480,628.75,683.75,738.75,793.75,806.25,937.5,1068.75,1200,1328.75,1347.499,1366.248,1384.997,1299.996,1468.746,1674.995,1881.243,2087.492,2174.992,2218.744,2262.496,2156.247,2174.998,2199.998,2224.997,2399.998,2399.998,2493.746,2587.495,2681.243,2774.992,3037.493,3299.994,3562.496,3824.997,4813.746,5802.494,6791.243,7779.992,7779.992,6334.994,4889.995,3444.996,1999.998,1543.748,1087.498,631.249,174.999,131.249,87.5,43.75,,,1.999,3.999,5.998,7.997,7.497,6.996,6.496,5.995
900-5G160-0150-000,,,RTX4000 (TU104-850),WS,U104,BD,Raw Forecast,JFF,,,,,,,,,,,,,,,,,,,,,,,,10,20,30,40,40,155,313.75,472.5,631.25,631.25,525,418.75,312.5,622.5,730,837.5,945,680,898,778,658,538,263,307,351,395,426.8,452.8,478.8,504.8,480,629,684,739,794,807,938,1069,1200,1328.4,1348.2,1368,1387.799,1303.199,1472.399,1677.35,1882.3,2087.25,2172.5,2216.5,2260.5,2156,2176.35,2202.2,2228.05,2402.4,2402.4,2494.8,2587.2,2679.6,2772,3036,3300,3564,3828,4815.8,5803.6,6791.4,7779.2,7779.2,6334.9,4890.6,3446.3,2002,1545.5,1089,632.5,176,132,88,44,,,2.75,5.5,8.25,11,11,11,11,11
900-5G160-0150-000,,,RTX4000 (TU104-850),WS,U104,BD,Raw Forecast,SalesOpps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1726,2346,3068,3462,3491,3347,4011,3791,3487,3689,3492,3281,3066,3131,3209,3489,3478,3598,3418,2939,3622,3249,3265,3534,3653,3818,5553,5953,6354,6845,7522,7658,7174,10981,10098,11223,11024,7182,5648,3059,3233,3405,3032,2433,2757,2925,2708,2590,5922,3669,1821,3954,2064,2486,2580,2824
900-5G160-0150-000,,,RTX4000 (TU104-850),WS,U104,BD,Raw Forecast,RollingDemand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,126,75,586,1086,1114,689,53,34,755,575,714,384,261,192,326,140,169,183,198,164,189,192,89,90,152,250,315,660,937,594,877,1195,1353,1431,1679,2714,2814,2839,2928,2703,2490,2014,2090,2196,2508,2673,3013,2953,2662,3370,2912,2735,2707,2526,2415,3988,4267,4164,4045,4602,4450,4332,8558,8272,9920,9981,6336,4390,1670,1692,1904,1733,1238,1639,1930,1923,2055,5700,3669,1821,3954,2064,2486,2580,2824
900-5G160-0150-000,,,RTX4000 (TU104-850),WS,U104,BD,Raw Forecast,ChannelInv,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1844,3717,5976,9459,10901,13347,16386,19338,22197,25090,27949,31032,34329,37142,39949,43793,47438,49981,52689,54934,57801,60588,62899,64447,66594,67907,69152,70328,71685,72289,72550,72984,74385,74964,75991,76953,78398,78583,79924,80779,81156,83068,84143,85756,86629,88641,90373,91907,94550,96474,98812,102675,106709,111780,116039,119229,123288,128794,133002,134661,137704,140516,144807,149875,155450,162715,168117,174604,187681,197650,207670,218204,232527,246048,259274,271425,283875,295529
